id,ambient_humidity,baking_duration,cooling_period,cream_fat_content,egg_temperature,egg_yolk_count,final_temperature,lemon_zest_ph,notes_baker,origin,oven_temperature,pastry_type,preheating_time,salt_ratio,sugar_content,vanilla_extract,quality_class
1,54.0,24.0,26.0,100.4,52.0,11.0,309.0,3.2,,Lisboa,,Pastel Nata,207.0,42.74,22.8,5.7,KO
2,66.0,37.0,34.0,98.0,46.0,10.0,317.0,3.3,,Lisboa,306.0,N/A,245.0,41.73,11.6,4.0,KO
3,41.0,30.0,19.0,99.3,53.0,10.0,130.0,3.4,,Porto,121.0,,186.0,75.1,20.3,7.5,OK
4,62.0,24.0,48.0,98.0,115.0,9.0,354.0,3.3,,Lisboa,357.0,Pastel de Nata,186.0,46.41,73.3,4.2,OK
5,55.0,21.0,34.0,100.1,48.0,9.0,211.0,3.0,, Lisboa,202.0,Pastel de nata,218.0,56.52,80.1,6.0,KO
6,41.0,24.0,45.0,95.5,129.0,9.0,380.0,3.1,,Lisboa,375.0,Pastel De Nata,188.0,41.83,73.1,4.4,OK
7,76.0,37.0,18.0,99.6,33.0,9.0,110.0,3.5,,Porto,91.0,Pastel De Nata,210.0,70.27,20.6,7.6,OK
8,59.0,27.0,30.0,98.9,68.0,13.0,234.0,3.1,,Lisboa,217.0,Pastel De Nata,212.0,29.12,13.9,5.2,OK
9,45.0,18.0,50.0,100.2,54.0,9.0,228.0,3.4,,Lisboa,231.0,,221.0,50.19,58.7,3.4,OK
10,42.0,42.0,1.0,98.8,37.0,11.0,110.0,3.4,,Porto ,109.0,Pastel de Nata,206.0,78.87,23.7,5.3,OK
11,73.0,23.0,27.0,98.8,84.0,9.0,,3.1,,Lisboa,226.0,Pastel Nata,223.0,58.94,25.8,3.5,KO
12,58.0,23.0,33.0,97.2,85.0,9.0,311.0,3.0,,Lisboa,313.0,N/A,213.0,49.87,153.9,4.2,OK
13,48.0,19.0,42.0,97.9,22.0,12.0,236.0,3.0,,Lisboa,224.0,Pastel de nata,228.0,41.89,14.7,7.2,OK
14,66.0,29.0,17.0,95.6,126.0,9.0,,3.1,,Lisboa,326.0,Pastel Nata,199.0,34.69,131.4,5.0,KO
15,53.0,17.0,42.0,100.4,170.0,11.0,340.0,3.2,,Lisboa,320.0,N/A,211.0,45.5,131.9,8.1,OK
16,67.0,21.0,34.0,96.3,123.0,11.0,223.0,3.2,,Lisboa,221.0,Pastel Nata,196.0,22.58,14.1,7.2,OK
17,67.0,21.0,29.0,96.1,97.0,11.0,226.0,3.0,,Lisboa,207.0,N/A,205.0,27.57,52.9,4.5,OK
18,63.0,14.0,53.0,97.8,46.0,10.0,273.0,3.4,,Lisboa,272.0,Pastel De Nata,211.0,48.53,12.5,4.3,OK
19,64.0,25.0,26.0,101.7,54.0,12.0,192.0,2.9,,Lisboa,201.0,Pastel de Nata,199.0,28.76,118.0,3.9,OK
20,44.0,29.0,31.0,97.6,62.0,9.0,136.0,3.5,,Porto,149.0,Pastel De Nata,220.0,77.85,16.7,6.1,OK
21,70.0,23.0,32.0,97.4,64.0,11.0,245.0,3.3,,Lisboa,251.0,Pastel Nata,212.0,49.67,15.6,4.3,KO
22,55.0,18.0,34.0,100.1,72.0,9.0,230.0,3.4,,LISBOA,226.0,Pastel de nata,203.0,56.06,46.0,3.8,OK
23,43.0,17.0,29.0,100.2,38.0,10.0,208.0,3.3,,Lisboa,208.0,N/A,198.0,29.09,44.2,4.5,OK
24,63.0,31.0,69.0,98.3,34.0,12.0,82.0,3.3,,Porto,93.0,Pastel Nata,316.0,116.5,28.7,7.5,OK
25,59.0,35.0,29.0,97.6,20.0,11.0,61.0,3.3,,PORTO,70.0,Pastel De Nata,218.0,85.07,22.5,6.2,OK
26,76.0,20.0,37.0,96.5,111.0,9.0,308.0,3.4,,Lisboa,301.0,Pastel de nata,255.0,52.55,116.8,7.9,OK
27,65.0,36.0,25.0,96.8,48.0,10.0,147.0,3.3,,Porto,139.0,N/A,256.0,79.03,20.4,4.7,KO
