id,ambient_humidity,baking_duration,cooling_period,cream_fat_content,egg_temperature,egg_yolk_count,final_temperature,lemon_zest_ph,notes_baker,origin,oven_temperature,pastry_type,preheating_time,salt_ratio,sugar_content,vanilla_extract
5201,79.0,22,40,98.6,79.0,9.0,259.0,3.2,,Lisboa,268.0,,208.0,49.63,182.6,4.0
5202,49.0,26,32,101.9,105.0,9.0,287.0,3.2,,Lisboa,287.0,Pastel de nata,189.0,182.54,76.2,4.8
5203,80.0,28,24,96.6,20.0,10.0,64.0,3.4,,Porto,74.0,Pastel Nata,201.0,100.41,23.5,6.1
5204,74.0,21,37,97.2,81.0,9.0,314.0,3.0,,Lisboa,317.0,,220.0,46.66,143.2,4.9
5205,41.0,19,41,97.3,104.0,10.0,246.0,3.2,,Lisboa,243.0,Pastel Nata,191.0,39.45,143.0,7.0
5206,73.0,20,74,98.5,28.0,10.0,137.0,3.1,,Lisboa,132.0,,182.0,157.44,14.5,4.8
5207,68.0,27,21,96.4,30.0,,161.0,3.0,,Lisboa,162.0,N/A,217.0,31.26,45.3,5.6
5208,67.0,35,54,97.7,42.0,9.0,148.0,3.1,,Porto,144.0,Pastel De Nata,264.0,410.83,20.9,11.9
5209,61.0,42,18,99.8,37.0,9.0,107.0,3.4,,Porto,110.0,N/A,213.0,72.15,17.7,6.0
5210,46.0,24,43,102.0,48.0,12.0,94.0,3.2,,Porto,90.0,Pastel de Nata,332.0,83.41,16.2,7.4
5211,42.0,41,17,96.3,36.0,11.0,133.0,3.1,,Porto,124.0,N/A,256.0,99.41,20.1,5.8
5212,75.0,25,32,98.6,66.0,12.0,185.0,3.2,,Lisboa,192.0,Pastel de nata,211.0,32.62,61.0,4.3
5213,78.0,18,25,97.7,122.0,10.0,309.0,3.2,,Lisboa,319.0,Pastel De Nata,212.0,114.59,100.5,4.3
5214,80.0,24,32,98.0,63.0,13.0,193.0,3.0,,Lisboa,201.0,Pastel Nata,245.0,44.97,13.5,4.3
5215,52.0,19,24,97.8,51.0,10.0,218.0,3.5,,Lisboa,209.0,Pastel de Nata,228.0,48.5,13.9,6.2
5216,64.0,20,33,99.1,83.0,12.0,191.0,3.2,,Lisboa,215.0,,204.0,37.69,15.0,6.4
5217,65.0,21,35,100.5,51.0,10.0,215.0,3.0,,Lisboa,223.0,,242.0,45.83,11.1,4.6
5218,77.0,44,23,96.2,20.0,10.0,94.0,3.1,,Porto,91.0,Pastel De Nata,292.0,89.38,22.2,5.8
5219,78.0,25,36,95.3,63.0,10.0,321.0,3.1,,Lisboa,316.0,,225.0,86.76,16.0,4.8
5220,60.0,18,30,101.8,77.0,9.0,306.0,2.9,,Lisboa,304.0,Pastel de nata,221.0,59.06,135.9,4.5
5221,58.0,27,47,99.6,50.0,12.0,193.0,3.2,,Lisboa,193.0,Pastel de nata,208.0,169.11,15.8,5.0
5222,49.0,33,32,98.1,50.0,11.0,112.0,3.3,,Porto,107.0,,319.0,95.42,24.0,7.1
5223,54.0,23,33,99.9,104.0,10.0,227.0,3.1,,Lisboa,242.0,Pastel Nata,216.0,55.31,116.7,5.1
5224,49.0,43,34,99.7,28.0,9.0,170.0,3.3,,Porto,189.0,Pastel de nata,208.0,86.61,20.1,6.1
5225,76.0,20,77,97.3,77.0,12.0,238.0,3.3,,Lisboa,245.0,N/A,255.0,45.04,45.5,4.3
5226,76.0,18,45,99.0,45.0,11.0,202.0,3.0,,Lisboa,197.0,N/A,266.0,40.3,14.5,5.5
5227,44.0,23,36,97.3,78.0,9.0,,3.1,,Lisboa,317.0,,219.0,56.56,12.5,5.4
5228,76.0,37,9,99.4,42.0,9.0,283.0,3.1,,Lisboa,273.0,Pastel De Nata,210.0,107.33,15.1,5.6
5229,59.0,43,20,99.7,57.0,9.0,211.0,3.2,,Porto,221.0,Pastel Nata,246.0,100.49,20.7,4.7
5230,57.0,25,25,99.7,59.0,11.0,213.0,3.2,,Lisboa,222.0,Pastel de nata,220.0,57.33,99.2,4.5
5231,62.0,27,25,99.1,50.0,12.0,179.0,3.0,,Lisboa,194.0,,191.0,48.01,144.5,3.0
5232,60.0,29,49,98.0,22.0,12.0,74.0,3.2,,Porto,70.0,Pastel de nata,302.0,98.5,23.9,6.7
5233,66.0,20,46,99.5,174.0,11.0,326.0,3.2,,Lisboa,332.0,Pastel Nata,206.0,41.95,37.9,5.9
5234,74.0,23,35,98.5,28.0,10.0,123.0,3.1,,,119.0,Pastel de Nata,206.0,33.11,34.8,3.9
5235,77.0,26,47,100.5,60.0,12.0,352.0,3.5,,LISBOA,338.0,Pastel de Nata,168.0,26.36,49.3,4.6
5236,73.0,22,29,100.4,66.0,12.0,163.0,3.0,,Lisboa,164.0,N/A,207.0,39.07,24.0,3.6
5237,76.0,41,12,98.2,138.0,13.0,196.0,3.3,,Lisboa,202.0,N/A,148.0,9.19,13.1,3.5
5238,66.0,36,97,98.7,66.0,12.0,242.0,3.2,,Lisboa,255.0,Pastel De Nata,208.0,30.06,200.2,4.0
5239,51.0,26,24,102.1,66.0,10.0,272.0,3.1,,Lisboa,255.0,Pastel De Nata,229.0,67.12,20.0,6.3
5240,56.0,25,31,98.2,109.0,13.0,281.0,3.4,,Lisboa,295.0,Pastel Nata,193.0,31.01,21.2,4.1
5241,49.0,23,28,95.9,132.0,10.0,230.0,3.2,,Lisboa,233.0,Pastel de nata,188.0,42.21,97.1,4.0
5242,58.0,18,25,97.9,59.0,9.0,240.0,2.9,,lisboa,250.0,Pastel De Nata,218.0,50.09,156.2,4.0
5243,42.0,20,25,97.7,129.0,10.0,341.0,3.7,,Lisboa,334.0,Pastel de nata,179.0,45.83,23.2,7.1
5244,76.0,31,23,101.4,29.0,10.0,82.0,3.2,,Porto,93.0,N/A,257.0,61.04,23.2,5.5
5245,63.0,31,20,98.0,125.0,9.0,345.0,3.1,,Lisboa,353.0,Pastel Nata,217.0,44.18,155.3,5.5
5246,77.0,30,30,101.0,81.0,9.0,168.0,3.5,,Porto,158.0,Pastel Nata,218.0,77.1,21.3,5.0
5247,59.0,20,38,98.3,66.0,11.0,240.0,,,Lisboa,242.0,Pastel de nata,204.0,48.01,14.8,5.2
5248,55.0,24,73,93.1,56.0,11.0,116.0,3.1,,Porto,113.0,Pastel De Nata,401.0,79.02,27.5,6.7
5249,66.0,44,0,98.7,16.0,10.0,65.0,3.6,,Porto,70.0,,223.0,75.46,25.3,5.1
5250,52.0,24,33,100.0,56.0,11.0,176.0,3.1,,Lisboa,158.0,Pastel de Nata,239.0,43.88,12.0,7.0
5251,54.0,29,20,101.1,105.0,9.0,362.0,3.2,,Lisboa,339.0,,194.0,48.68,19.7,4.9
5252,68.0,24,45,97.7,101.0,9.0,446.0,3.1,,Lisboa,432.0,Pastel De Nata,218.0,51.64,187.7,4.9
5253,56.0,19,63,97.7,114.0,9.0,308.0,3.1,,Lisboa,295.0,Pastel De Nata,212.0,37.53,138.6,4.8
5254,72.0,41,3,100.2,63.0,11.0,105.0,3.5,,Porto,116.0,Pastel de Nata,232.0,82.82,20.1,6.8
5255,47.0,27,47,95.2,94.0,9.0,241.0,3.0,,Lisboa,228.0,Pastel de Nata,233.0,37.18,136.3,5.0
5256,59.0,41,0,99.8,29.0,12.0,61.0,3.4,,Porto,71.0,Pastel De Nata,224.0,88.15,21.5,5.8
5257,40.0,22,29,96.0,59.0,10.0,238.0,3.4,,Lisboa,236.0,Pastel de nata,215.0,40.66,24.2,6.1
5258,66.0,25,16,97.8,83.0,12.0,219.0,3.3,,Lisboa,200.0,,158.0,28.8,42.0,3.5
5259,77.0,20,41,95.8,74.0,11.0,170.0,3.3,,Lisboa,176.0,Pastel de Nata,191.0,31.65,29.6,4.1
5260,66.0,21,30,96.5,119.0,9.0,372.0,3.1,,Lisboa,371.0,Pastel Nata,226.0,57.4,137.4,4.6
5261,48.0,19,50,98.3,99.0,12.0,175.0,3.4,,porto,184.0,Pastel de Nata,245.0,71.39,17.1,7.3
5262,71.0,19,50,98.7,83.0,10.0,265.0,3.2,,Lisboa,279.0,Pastel de Nata,244.0,50.59,50.3,4.7
5263,46.0,21,27,95.8,88.0,11.0,246.0,3.0,,Lisboa,236.0,Pastel de nata,220.0,43.49,33.3,6.2
5264,73.0,23,32,98.6,72.0,12.0,310.0,3.2,,Lisboa,305.0,Pastel De Nata,224.0,45.51,160.8,3.8
5265,49.0,36,39,101.5,34.0,11.0,79.0,3.3,,Porto,80.0,N/A,220.0,60.4,22.2,6.5
5266,56.0,24,28,98.0,82.0,9.0,306.0,3.2,,Lisboa,310.0,,182.0,50.59,188.1,5.2
5267,51.0,45,48,98.4,49.0,9.0,207.0,3.2,,Porto,218.0,Pastel de nata,218.0,117.26,17.9,6.8
5268,61.0,28,55,97.4,60.0,10.0,137.0,3.2,,Porto,150.0,N/A,368.0,84.3,,8.3
5269,58.0,26,32,98.7,115.0,9.0,348.0,3.4,,Lisboa,328.0,Pastel De Nata,185.0,52.98,77.8,6.6
5270,76.0,21,28,99.6,,10.0,335.0,3.2,,Lisboa,348.0,Pastel de nata,248.0,51.36,139.3,4.6
5271,52.0,41,7,101.0,42.0,10.0,181.0,3.5,,Porto,177.0,Pastel Nata,223.0,74.55,27.6,5.5
5272,48.0,20,28,103.6,116.0,9.0,372.0,3.2,,Lisboa,374.0,Pastel Nata,231.0,56.78,143.3,4.7
5273,64.0,15,31,101.8,59.0,11.0,243.0,3.1,,Lisboa,250.0,N/A,208.0,32.02,62.1,4.1
5274,56.0,20,40,97.0,53.0,11.0,172.0,3.1,,Lisboa,176.0,Pastel de nata,209.0,28.55,81.0,6.8
5275,74.0,23,33,98.8,83.0,10.0,231.0,3.0,,Lisboa,223.0,Pastel De Nata,232.0,58.15,26.1,3.8
5276,69.0,22,28,100.2,59.0,13.0,183.0,3.4,,LISBOA,195.0,Pastel de nata,171.0,30.47,13.1,4.4
5277,46.0,20,23,99.9,61.0,12.0,349.0,3.0,,LISBOA,338.0,Pastel de Nata,239.0,26.39,16.5,7.2
5278,65.0,19,23,99.1,60.0,9.0,238.0,3.3,,Lisboa,217.0,Pastel De Nata,177.0,40.06,42.8,3.7
5279,56.0,22,35,101.4,84.0,9.0,239.0,3.3,,Lisboa,244.0,,185.0,38.65,173.0,4.1
5280,56.0,22,27,100.8,117.0,9.0,341.0,3.1,,,357.0,Pastel de nata,223.0,56.8,139.6,3.6
5281,75.0,17,27,98.3,69.0,9.0,254.0,3.0,,lisboa,270.0,Pastel Nata,213.0,51.81,143.5,4.0
5282,45.0,26,38,98.8,83.0,12.0,204.0,3.1,,Lisboa,224.0,,215.0,32.12,20.4,7.5
5283,58.0,26,34,98.1,35.0,12.0,256.0,3.2,,Lisboa,241.0,Pastel de nata,228.0,33.1,60.7,3.9
5284,50.0,27,50,97.5,22.0,12.0,73.0,3.2,,Porto,68.0,Pastel de nata,301.0,58.89,20.1,5.3
5285,58.0,28,57,98.5,22.0,11.0,89.0,3.1,,Porto,79.0,Pastel Nata,323.0,84.82,23.6,7.3
5286,55.0,27,35,97.7,20.0,9.0,82.0,3.2,,Porto,69.0,Pastel Nata,278.0,71.0,22.1,6.5
5287,41.0,21,62,97.7,104.0,10.0,300.0,3.0,,Lisboa,294.0,Pastel Nata,230.0,48.17,20.8,5.5
5288,75.0,26,38,92.7,70.0,13.0,272.0,3.2,,Lisboa,274.0,Pastel de nata,195.0,46.21,25.6,4.2
5289,44.0,19,27,96.5,81.0,12.0,201.0,3.4,,Lisboa,203.0,,169.0,31.28,15.2,7.7
5290,63.0,21,31,100.9,90.0,11.0,246.0,3.5,,Lisboa,242.0,N/A,183.0,40.3,14.1,6.1
5291,48.0,39,29,95.2,36.0,13.0,113.0,3.5,,Porto,122.0,,189.0,46.33,21.1,6.2
5292,53.0,31,38,97.9,131.0,9.0,404.0,3.3,,Lisboa,412.0,Pastel de nata,210.0,39.23,121.7,5.9
5293,54.0,27,39,97.6,68.0,9.0,220.0,3.2,,Lisboa,,Pastel de nata,227.0,59.68,121.5,3.8
5294,72.0,42,48,99.7,30.0,11.0,87.0,2.9,,Porto,85.0,N/A,441.0,93.76,41.7,7.5
5295,72.0,23,20,95.9,92.0,9.0,342.0,3.0,,Lisboa,346.0,,251.0,73.59,165.0,4.9
5296,50.0,23,33,95.8,113.0,9.0,320.0,3.1,,Lisboa,315.0,N/A,220.0,48.49,76.5,4.5
5297,76.0,23,37,101.1,113.0,10.0,289.0,2.9,,Lisboa,288.0,N/A,260.0,43.89,58.9,3.4
5298,78.0,25,50,97.0,44.0,10.0,249.0,3.1,,Lisboa,246.0,Pastel de nata,265.0,53.41,16.2,3.6
5299,74.0,60,4,99.2,34.0,9.0,170.0,3.4,,Porto,151.0,Pastel Nata,215.0,87.52,19.7,6.0
5300,49.0,24,32,99.4,83.0,12.0,221.0,3.0,,Lisboa,216.0,Pastel de nata,218.0,31.13,15.8,4.4
5301,61.0,40,29,98.1,20.0,9.0,77.0,3.3,,Porto,72.0,,267.0,96.92,22.1,4.8
5302,75.0,23,39,99.1,109.0,9.0,318.0,3.0,,Lisboa,345.0,Pastel de Nata,221.0,57.86,137.7,4.9
5303,73.0,19,50,98.7,78.0,13.0,228.0,3.3,,Lisboa,234.0,Pastel de nata,199.0,40.08,54.9,4.1
5304,70.0,23,39,100.2,128.0,10.0,351.0,3.2,,Lisboa,356.0,Pastel de Nata,222.0,42.04,102.0,6.3
5305,75.0,21,29,95.1,143.0,10.0,309.0,3.3,,Lisboa,298.0,N/A,191.0,41.92,17.7,5.5
5306,52.0,18,41,96.5,63.0,10.0,280.0,3.2,,Lisboa,282.0,Pastel De Nata,236.0,48.36,18.6,5.3
5307,77.0,23,41,97.3,135.0,9.0,329.0,3.2,,Lisboa,350.0,Pastel Nata,200.0,181.52,63.5,3.8
5308,50.0,19,27,93.9,109.0,12.0,263.0,3.2,,LISBOA,253.0,Pastel de nata,169.0,40.43,51.8,4.3
5309,50.0,24,34,97.1,99.0,9.0,321.0,3.0,,Lisboa,311.0,N/A,228.0,45.41,207.1,4.6
5310,75.0,29,65,98.9,16.0,12.0,61.0,3.2,,Porto,62.0,N/A,328.0,121.98,23.5,5.7
5311,44.0,42,38,97.8,32.0,10.0,150.0,3.3,,,147.0,Pastel de Nata,300.0,104.5,50.9,6.3
5312,54.0,26,32,96.6,16.0,10.0,60.0,3.2,,Porto,71.0,Pastel de Nata,223.0,61.74,17.2,11.0
5313,74.0,21,49,97.5,78.0,13.0,143.0,3.2,,,161.0,Pastel de nata,180.0,161.83,18.3,3.4
5314,42.0,24,51,100.2,63.0,10.0,265.0,3.1,,Lisboa,262.0,,230.0,46.25,13.0,6.0
5315,63.0,22,32,99.6,95.0,12.0,274.0,3.3,,Lisboa,272.0,N/A,197.0,26.49,16.0,5.2
5316,49.0,25,59,97.6,24.0,10.0,86.0,3.3,,Porto,78.0,Pastel de nata,328.0,55.83,21.3,8.5
5317,62.0,23,43,102.0,165.0,9.0,401.0,3.3,,Lisboa,394.0,Pastel de nata,192.0,48.89,113.0,5.2
5318,58.0,28,58,98.6,79.0,9.0,453.0,2.9,,Lisboa,441.0,Pastel Nata,242.0,51.59,146.4,6.6
5319,67.0,40,3,96.8,60.0,10.0,188.0,3.4,,,199.0,Pastel De Nata,230.0,94.86,18.1,5.4
5320,70.0,38,16,96.9,63.0,11.0,104.0,3.3,,Porto,104.0,Pastel de Nata,182.0,76.81,17.9,8.2
5321,62.0,19,34,99.0,75.0,11.0,203.0,3.2,,Lisboa,204.0,Pastel de Nata,212.0,36.2,16.2,5.5
5322,77.0,30,45,99.4,22.0,12.0,,3.2,,Porto,71.0,Pastel De Nata,293.0,70.4,62.6,4.6
5323,62.0,19,24,101.9,81.0,10.0,403.0,3.4,,Lisboa,411.0,Pastel De Nata,213.0,51.46,61.9,5.4
5324,79.0,25,48,96.3,83.0,11.0,304.0,3.2,,Lisboa,321.0,Pastel De Nata,225.0,46.76,22.5,6.3
5325,47.0,19,48,97.8,98.0,10.0,229.0,3.4,,Lisboa,226.0,N/A,169.0,38.62,50.0,3.8
5326,50.0,20,30,97.2,78.0,11.0,216.0,3.7,,Lisboa,212.0,,215.0,60.88,17.4,6.8
5327,56.0,24,22,100.8,54.0,10.0,335.0,3.3,,Lisboa,318.0,Pastel de nata,179.0,45.08,144.2,3.7
5328,78.0,23,22,96.4,119.0,10.0,339.0,3.3,,,339.0,Pastel De Nata,211.0,47.82,85.0,3.9
5329,78.0,39,58,101.1,20.0,10.0,72.0,3.1,,Porto,77.0,N/A,361.0,70.91,19.0,6.3
5330,53.0,18,50,100.0,61.0,10.0,208.0,3.2,,Lisboa,209.0,Pastel de nata,167.0,34.03,10.0,4.3
5331,59.0,19,26,102.3,110.0,9.0,270.0,3.3,,Lisboa,273.0,N/A,169.0,47.48,122.3,3.7
5332,61.0,31,22,98.0,98.0,10.0,288.0,3.3,,Lisboa,280.0,Pastel de Nata,163.0,52.18,70.8,4.1
5333,45.0,31,39,94.4,81.0,10.0,271.0,3.2,,Lisboa,272.0,Pastel de nata,202.0,51.63,87.1,5.0
5334,46.0,22,30,102.5,91.0,12.0,364.0,3.3,,Lisboa,368.0,Pastel De Nata,210.0,38.68,42.4,5.0
5335,76.0,43,2,96.7,62.0,11.0,104.0,3.4,,Porto,115.0,Pastel de Nata,199.0,62.35,18.7,8.2
5336,52.0,34,48,96.6,24.0,11.0,68.0,3.3,,Porto,79.0,Pastel De Nata,221.0,114.88,22.4,6.4
5337,46.0,22,32,100.8,51.0,12.0,215.0,3.4,,Lisboa,214.0,Pastel Nata,203.0,23.16,88.1,3.5
5338,51.0,23,29,99.3,46.0,10.0,139.0,3.3,,Lisboa,153.0,Pastel Nata,158.0,28.2,11.0,5.4
5339,80.0,31,24,98.1,68.0,11.0,147.0,3.3,,Porto,145.0,,231.0,73.0,25.4,5.8
5340,49.0,22,31,98.5,62.0,9.0,333.0,3.1,,Lisboa,322.0,Pastel Nata,239.0,51.02,132.0,5.2
5341,47.0,25,18,98.4,53.0,9.0,223.0,3.2,,Lisboa,224.0,Pastel de nata,196.0,39.95,148.6,5.0
5342,76.0,21,34,100.8,64.0,12.0,219.0,3.1,,Lisboa,212.0,,221.0,33.26,13.6,3.8
5343,74.0,31,23,100.4,108.0,9.0,270.0,3.1,,Lisboa,264.0,N/A,197.0,49.87,47.2,6.1
5344,65.0,27,27,97.6,86.0,9.0,305.0,3.0,,Lisboa,306.0,Pastel de nata,220.0,47.58,13.8,5.2
5345,78.0,22,56,101.2,65.0,9.0,292.0,3.0,,Lisboa,290.0,N/A,200.0,52.45,145.8,3.9
5346,54.0,37,32,98.2,31.0,10.0,97.0,3.2,,Porto,107.0,Pastel de Nata,275.0,106.92,23.1,5.4
5347,46.0,22,32,100.5,74.0,11.0,241.0,3.4,,Lisboa,241.0,Pastel Nata,189.0,34.52,15.0,4.7
5348,63.0,30,21,99.0,79.0,10.0,255.0,3.1,,Lisboa,253.0,Pastel De Nata,183.0,41.84,11.6,4.6
5349,79.0,22,48,98.2,60.0,11.0,236.0,2.9,,Lisboa,228.0,Pastel de nata,187.0,53.86,57.4,9.5
5350,73.0,19,31,98.6,36.0,10.0,182.0,2.8,,Lisboa,186.0,Pastel de nata,248.0,24.18,10.1,3.7
5351,56.0,22,26,94.0,43.0,10.0,231.0,3.4,,Lisboa,211.0,Pastel de nata,177.0,42.19,79.2,6.1
5352,41.0,21,40,99.5,120.0,9.0,321.0,3.1,,Lisboa,338.0,Pastel Nata,219.0,59.21,138.8,4.5
5353,73.0,18,26,97.4,77.0,11.0,250.0,3.2,,Lisboa,244.0,N/A,213.0,48.86,16.3,4.7
5354,70.0,22,39,99.7,95.0,9.0,274.0,3.0,,Lisboa,281.0,Pastel de nata,207.0,37.79,185.5,4.9
5355,46.0,25,35,96.1,99.0,9.0,388.0,3.1,,Lisboa,389.0,Pastel De Nata,225.0,42.2,83.7,4.8
5356,63.0,21,35,99.0,95.0,9.0,254.0,3.2,,Lisboa,253.0,Pastel de Nata,199.0,38.13,157.7,4.3
5357,72.0,28,28,97.7,89.0,12.0,254.0,3.3,,Lisboa,246.0,N/A,159.0,27.76,63.6,4.2
5358,73.0,19,29,97.1,48.0,9.0,314.0,3.0,,Lisboa ,305.0,Pastel de nata,195.0,61.48,127.7,5.3
5359,52.0,20,30,100.4,33.0,13.0,202.0,3.5,,Lisboa,204.0,N/A,177.0,26.52,26.7,4.0
5360,56.0,27,19,100.2,108.0,11.0,278.0,3.5,,Lisboa,293.0,,179.0,30.75,18.1,5.6
5361,73.0,35,26,101.3,125.0,9.0,360.0,3.2,,,360.0,N/A,225.0,49.9,106.1,4.6
5362,62.0,33,31,99.0,53.0,9.0,211.0,3.3,,Porto,233.0,,260.0,85.29,29.1,6.1
5363,47.0,18,32,99.3,75.0,8.0,291.0,3.0,,Lisboa,300.0,Pastel Nata,207.0,56.75,134.1,4.1
5364,68.0,22,19,100.2,91.0,9.0,220.0,3.2,,Lisboa ,214.0,Pastel De Nata,167.0,43.65,168.6,4.7
5365,78.0,23,46,96.1,133.0,10.0,361.0,3.2,,Lisboa,356.0,Pastel de nata,185.0,47.31,117.4,5.0
5366,50.0,52,3,99.7,22.0,12.0,54.0,3.6,,Porto,67.0,Pastel De Nata,199.0,77.91,76.8,5.1
5367,50.0,41,0,99.3,18.0,10.0,47.0,3.3,,Porto,62.0,,196.0,67.31,16.1,3.8
5368,45.0,27,27,95.5,70.0,11.0,257.0,3.2,,Lisboa,249.0,N/A,184.0,36.18,49.5,4.2
5369,73.0,24,24,99.0,74.0,10.0,306.0,3.3,,Lisboa,307.0,N/A,176.0,76.0,201.0,4.2
5370,45.0,18,57,98.4,83.0,9.0,224.0,3.2,,Lisboa,218.0,,188.0,121.31,14.1,3.8
5371,67.0,25,53,100.8,79.0,10.0,193.0,3.3,,porto,206.0,Pastel de Nata,259.0,92.98,18.5,7.3
5372,64.0,24,5,98.2,32.0,9.0,96.0,3.3,, Lisboa,94.0,Pastel de Nata,175.0,39.52,7.9,3.4
5373,70.0,33,49,97.8,66.0,13.0,239.0,3.1,,Lisboa,235.0,,205.0,31.74,28.4,3.9
5374,62.0,23,32,97.3,86.0,10.0,290.0,3.4,,Lisboa,287.0,Pastel Nata,219.0,49.35,76.1,3.8
5375,53.0,23,32,100.5,105.0,9.0,320.0,3.4,,Lisboa,304.0,,219.0,44.38,140.4,6.9
5376,50.0,47,19,97.3,28.0,10.0,82.0,,,Porto,83.0,Pastel de nata,207.0,72.46,20.6,5.6
5377,51.0,26,33,96.6,50.0,12.0,146.0,3.3,,Lisboa,154.0,N/A,219.0,43.72,13.3,6.7
5378,51.0,20,25,98.9,85.0,12.0,244.0,3.0,,Lisboa,233.0,N/A,212.0,25.52,91.5,3.6
5379,67.0,28,47,98.8,38.0,9.0,262.0,3.1,,Lisboa,254.0,N/A,181.0,107.86,21.1,5.2
5380,48.0,31,39,100.2,26.0,10.0,103.0,2.9,,Porto,97.0,Pastel De Nata,328.0,106.77,22.2,5.2
5381,54.0,29,14,100.7,40.0,12.0,96.0,3.5,,Porto,88.0,N/A,202.0,37.17,21.2,6.4
5382,62.0,20,39,97.8,71.0,11.0,185.0,3.1,,Lisboa,195.0,N/A,204.0,35.92,18.4,5.4
5383,69.0,18,34,97.0,58.0,10.0,237.0,2.9,,Lisboa,241.0,Pastel Nata,209.0,38.22,14.0,6.8
5384,62.0,25,39,99.5,94.0,10.0,398.0,3.4,,Lisboa,381.0,Pastel Nata,198.0,57.57,74.1,5.3
5385,54.0,20,32,98.5,59.0,12.0,177.0,3.3,,Lisboa,169.0,Pastel de nata,216.0,46.52,10.7,4.2
5386,68.0,32,32,99.3,58.0,13.0,184.0,3.6,,lisboa,196.0,,178.0,38.31,56.0,5.7
5387,60.0,32,47,101.6,18.0,10.0,66.0,3.2,,Porto,75.0,Pastel de nata,348.0,124.77,27.5,7.1
5388,50.0,26,37,99.3,89.0,12.0,295.0,3.1,,Lisboa,283.0,Pastel de nata,212.0,36.25,9.3,3.7
